id, name1, name2, name3, name4, name5, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
395,1,3,7,15,17,17/16,21/16,45/32,3/2,51/32,105/64,7/4,119/64,15/8,255/128,false,false,false,false,10,1,1,0,1,0,0,0,1,1,0,0,0,0,0
397,1,5,7,15,17,17/16,35/32,75/64,5/4,85/64,105/64,7/4,119/64,15/8,255/128,false,false,false,false,10,1,0,1,1,0,0,0,1,1,0,0,0,0,0
398,3,5,7,15,17,35/32,75/64,21/16,85/64,45/32,51/32,105/64,119/64,15/8,255/128,false,false,false,false,10,0,1,1,1,0,0,0,1,1,0,0,0,0,0
403,1,3,9,15,17,135/128,17/16,9/8,153/128,45/32,3/2,51/32,27/16,15/8,255/128,false,false,false,false,10,1,1,0,0,1,0,0,1,1,0,0,0,0,0
405,1,5,9,15,17,135/128,17/16,9/8,75/64,153/128,5/4,85/64,45/32,15/8,255/128,false,false,false,false,10,1,0,1,0,1,0,0,1,1,0,0,0,0,0
406,3,5,9,15,17,135/128,75/64,153/128,85/64,45/32,51/32,27/16,15/8,255/128,null/null,false,false,false,false,9,0,1,1,0,1,0,0,1,1,0,0,0,0,0
409,1,7,9,15,17,135/128,17/16,9/8,153/128,105/64,7/4,119/64,15/8,63/32,255/128,false,false,false,false,10,1,0,0,1,1,0,0,1,1,0,0,0,0,0
410,3,7,9,15,17,135/128,153/128,21/16,45/32,51/32,105/64,27/16,119/64,63/32,255/128,false,false,false,false,10,0,1,0,1,1,0,0,1,1,0,0,0,0,0
412,5,7,9,15,17,135/128,35/32,75/64,153/128,85/64,45/32,105/64,119/64,63/32,255/128,false,false,false,false,10,0,0,1,1,1,0,0,1,1,0,0,0,0,0
419,1,3,11,15,17,33/32,17/16,165/128,11/8,45/32,187/128,3/2,51/32,15/8,255/128,false,false,false,false,10,1,1,0,0,0,1,0,1,1,0,0,0,0,0
421,1,5,11,15,17,17/16,75/64,5/4,165/128,85/64,11/8,187/128,55/32,15/8,255/128,false,false,false,false,10,1,0,1,0,0,1,0,1,1,0,0,0,0,0
422,3,5,11,15,17,33/32,75/64,165/128,85/64,45/32,187/128,51/32,55/32,15/8,255/128,false,false,false,false,10,0,1,1,0,0,1,0,1,1,0,0,0,0,0
425,1,7,11,15,17,17/16,77/64,165/128,11/8,187/128,105/64,7/4,119/64,15/8,255/128,false,false,false,false,10,1,0,0,1,0,1,0,1,1,0,0,0,0,0
426,3,7,11,15,17,33/32,77/64,165/128,21/16,45/32,187/128,51/32,105/64,119/64,255/128,false,false,false,false,10,0,1,0,1,0,1,0,1,1,0,0,0,0,0
