id, name1, name2, name3, name4, name5, name6, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, note11, note12, note13, note14, note15, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
377,1,7,9,11,13,17,17/16,143/128,9/8,153/128,77/64,11/8,91/64,187/128,99/64,13/8,221/128,7/4,117/64,119/64,63/32,false,false,false,false,15,1,0,0,1,1,1,1,0,1,0,0,0,0,0
378,3,7,9,11,13,17,33/32,143/128,153/128,77/64,39/32,21/16,91/64,187/128,99/64,51/32,27/16,221/128,117/64,119/64,63/32,false,false,false,false,15,0,1,0,1,1,1,1,0,1,0,0,0,0,0
380,5,7,9,11,13,17,65/64,35/32,143/128,153/128,77/64,85/64,45/32,91/64,187/128,99/64,55/32,221/128,117/64,119/64,63/32,false,false,false,false,15,0,0,1,1,1,1,1,0,1,0,0,0,0,0
399,1,3,5,7,15,17,17/16,35/32,75/64,5/4,21/16,85/64,45/32,3/2,51/32,105/64,7/4,119/64,15/8,255/128,null/null,false,false,false,false,14,1,1,1,1,0,0,0,1,1,0,0,0,0,0
407,1,3,5,9,15,17,135/128,17/16,9/8,75/64,153/128,5/4,85/64,45/32,3/2,51/32,27/16,15/8,255/128,null/null,null/null,false,false,false,false,13,1,1,1,0,1,0,0,1,1,0,0,0,0,0
411,1,3,7,9,15,17,135/128,17/16,9/8,153/128,21/16,45/32,3/2,51/32,105/64,27/16,7/4,119/64,15/8,63/32,255/128,false,false,false,false,15,1,1,0,1,1,0,0,1,1,0,0,0,0,0
413,1,5,7,9,15,17,135/128,17/16,35/32,9/8,75/64,153/128,5/4,85/64,45/32,105/64,7/4,119/64,15/8,63/32,255/128,false,false,false,false,15,1,0,1,1,1,0,0,1,1,0,0,0,0,0
414,3,5,7,9,15,17,135/128,35/32,75/64,153/128,21/16,85/64,45/32,51/32,105/64,27/16,119/64,15/8,63/32,255/128,null/null,false,false,false,false,14,0,1,1,1,1,0,0,1,1,0,0,0,0,0
423,1,3,5,11,15,17,33/32,17/16,75/64,5/4,165/128,85/64,11/8,45/32,187/128,3/2,51/32,55/32,15/8,255/128,null/null,false,false,false,false,14,1,1,1,0,0,1,0,1,1,0,0,0,0,0
427,1,3,7,11,15,17,33/32,17/16,77/64,165/128,21/16,11/8,45/32,187/128,3/2,51/32,105/64,7/4,119/64,15/8,255/128,false,false,false,false,15,1,1,0,1,0,1,0,1,1,0,0,0,0,0
